,Unnamed: 0.3,date,period,demand,wind
0,0,2016-01-01,1,488.7174458181818,217.2691146980506
1,1,2016-01-01,2,497.53632,232.91712416581743
2,2,2016-01-01,3,498.072994909091,247.4177586376936
3,3,2016-01-01,4,487.0784116363636,241.058022946185
4,4,2016-01-01,5,472.8347694545455,164.09647917420037
5,5,2016-01-01,6,464.2914850909091,117.79716624478122
6,6,2016-01-01,7,465.1617687272727,110.04965317729052
7,7,2016-01-01,8,459.9545716363636,81.40898780367534
8,8,2016-01-01,9,453.65952,83.88950327098196
9,9,2016-01-01,10,446.85680290909096,108.24663532660506
10,10,2016-01-01,11,441.4465396363637,99.11134488313223
11,11,2016-01-01,12,443.24512581818186,61.94732239718598
12,12,2016-01-01,13,448.234752,76.88505210559191
13,13,2016-01-01,14,449.989824,98.89279726486738
14,14,2016-01-01,15,444.20243781818186,82.55636279956607
15,15,2016-01-01,16,441.4900538181819,95.80034846641902
16,16,2016-01-01,17,446.1170618181818,86.97102468851703
17,17,2016-01-01,18,458.7216698181818,88.56642230185082
18,18,2016-01-01,19,478.926754909091,90.57706038988792
19,19,2016-01-01,20,494.1422138181818,136.1442387981196
20,20,2016-01-01,21,511.0257163636364,145.3669482888984
21,21,2016-01-01,22,525.9075665454545,133.15013642789046
22,22,2016-01-01,23,539.2954298181818,179.65706959466124
23,23,2016-01-01,24,550.8411927272728,170.62012557940764
24,24,2016-01-01,25,563.1992203636364,152.2074887405898
25,25,2016-01-01,26,569.4797672727271,102.7610901081561
26,26,2016-01-01,27,570.4805934545454,102.979637726421
27,27,2016-01-01,28,568.2323607272727,88.18396396988724
28,28,2016-01-01,29,568.6529978181818,123.15158289227128
29,29,2016-01-01,30,568.0437992727273,143.43280186725406
30,30,2016-01-01,31,573.4540625454546,147.36665899602227
31,31,2016-01-01,32,582.5630312727274,163.4517637003189
32,32,2016-01-01,33,608.3524363636363,186.8035767119235
33,33,2016-01-01,34,627.0490298181819,217.0396396988725
34,34,2016-01-01,35,632.9814632727273,231.84624083631945
35,35,2016-01-01,36,629.3842909090909,168.44557677767185
36,36,2016-01-01,37,619.5500858181819,157.02646372333083
37,37,2016-01-01,38,605.1033774545455,157.0701732469838
38,38,2016-01-01,39,590.4390981818183,157.0701732469838
39,39,2016-01-01,40,573.7731665454546,69.73854498832968
40,40,2016-01-01,41,559.3119534545455,10.665123771327131
41,41,2016-01-01,42,543.4437818181818,10.665123771327131
42,42,2016-01-01,43,526.0671185454546,10.730688056806605
43,43,2016-01-01,44,509.6332625454546,10.752542818633092
44,44,2016-01-01,45,488.499874909091,10.78532496137283
45,45,2016-01-01,46,471.4858298181818,10.80717972319932
46,46,2016-01-01,47,450.3524421818182,10.774397580459585
47,47,2016-01-01,48,436.05078109090914,10.78532496137283
48,48,2016-01-02,1,432.0039621818182,10.829034485025804
49,49,2016-01-02,2,434.7743650909091,10.796252342286072
50,50,2016-01-02,3,439.4448872727273,10.730688056806605
51,51,2016-01-02,4,433.0192930909091,10.774397580459585
52,52,2016-01-02,5,425.7959389090909,10.818107104112563
53,53,2016-01-02,6,424.8531316363636,10.905526151418522
54,54,2016-01-02,7,424.1859141818183,21.81105230283704
55,55,2016-01-02,8,417.1076072727273,108.37776389756402
56,56,2016-01-02,9,413.292864,189.8413886058056
57,57,2016-01-02,10,412.7561890909091,189.8304612248924
58,58,2016-01-02,11,415.33803054545456,142.90828758341829
59,59,2016-01-02,12,418.0214050909091,145.10469114698054
60,60,2016-01-02,13,417.8183389090909,145.126545908807
61,61,2016-01-02,14,424.3744756363637,144.4490482921858
62,62,2016-01-02,15,444.0864,126.80132811729511
63,63,2016-01-02,16,454.8634123636364,101.55907820769914
64,64,2016-01-02,17,475.7647243636364,64.71194976823696
65,65,2016-01-02,18,493.924642909091,54.60412242348532
66,66,2016-01-02,19,519.6995432727273,64.89771524376214
67,67,2016-01-02,20,537.5258530909091,81.3543508991091
68,68,2016-01-02,21,553.2344727272728,73.90187711627601
69,69,2016-01-02,22,565.7520523636364,51.23848910220586
70,70,2016-01-02,23,576.1664465454546,34.69443439955292
71,71,2016-01-02,24,583.056192,14.784746375620502
72,72,2016-01-02,25,591.7445236363639,7.430619021006608
73,73,2016-01-02,26,592.4407505454546,13.790354712515208
74,74,2016-01-02,27,591.5704669090909,14.140030901739046
75,75,2016-01-02,28,589.2642152727274,11.888990433610577
76,76,2016-01-02,29,589.5107956363636,11.932699957263551
77,77,2016-01-02,30,589.5688145454546,17.232479700187383
78,78,2016-01-02,31,594.921058909091,20.554403497813865
79,79,2016-01-02,32,607.5256669090909,17.145060652881423
80,80,2016-01-02,33,634.6350021818182,21.25375587626155
81,81,2016-01-02,34,662.6581352727273,38.38788914822973
82,82,2016-01-02,35,683.4579141818182,39.52433676320721
83,83,2016-01-02,36,686.445888,42.71513198987476
84,84,2016-01-02,37,680.2088552727273,53.08521647654428
85,85,2016-01-02,38,666.6614400000001,46.94402840330057
86,86,2016-01-02,39,648.6030545454546,42.37638318156416
87,87,2016-01-02,40,625.5840523636364,39.74288438147212
88,88,2016-01-02,41,607.569181090909,19.53815707288208
89,89,2016-01-02,42,587.8137425454545,18.01925112594102
90,90,2016-01-02,43,572.9754065454546,19.36331897827016
91,91,2016-01-02,44,552.4947316363636,21.88754396922976
92,92,2016-01-02,45,533.6675956363636,23.24253920247214
93,93,2016-01-02,46,516.0588567272728,34.0606463065847
94,94,2016-01-02,47,491.8649716363636,40.72634866366417
95,95,2016-01-02,48,476.7655505454546,46.53971530951051
